filename,folder,final_label,sitting_direction,cva_available,cva_angle,cva_label,tia_angle,tia_label,original_label,label_changed
IMG_1745.jpg,output_augmented,GOOD,RIGHT,True,1.5,GOOD,1.0,GOOD,UNKNOWN,False
IMG_1745_flip.jpg,output_augmented,GOOD,LEFT,True,5.7,GOOD,2.0,GOOD,UNKNOWN,False
IMG_1746.jpg,output_augmented,GOOD,RIGHT,True,5.3,GOOD,1.0,GOOD,UNKNOWN,False
IMG_1746_flip.jpg,output_augmented,GOOD,LEFT,True,6.3,GOOD,0.9,GOOD,UNKNOWN,False
IMG_1747.jpg,output_augmented,GOOD,RIGHT,True,1.9,GOOD,1.8,GOOD,UNKNOWN,False
IMG_1747_flip.jpg,output_augmented,GOOD,LEFT,True,7.5,GOOD,3.6,GOOD,UNKNOWN,False
IMG_1748.jpg,output_augmented,GOOD,RIGHT,True,3.8,GOOD,2.7,GOOD,UNKNOWN,False
IMG_1748_flip.jpg,output_augmented,GOOD,LEFT,True,6.8,GOOD,4.0,GOOD,UNKNOWN,False
IMG_1749.jpg,output_augmented,GOOD,RIGHT,True,4.4,GOOD,2.9,GOOD,UNKNOWN,False
IMG_1749_flip.jpg,output_augmented,GOOD,LEFT,True,7.5,GOOD,5.2,GOOD,UNKNOWN,False
IMG_1750.jpg,output_augmented,GOOD,RIGHT,True,15.9,GOOD,1.6,GOOD,UNKNOWN,False
IMG_1750_flip.jpg,output_augmented,GOOD,LEFT,True,14.6,GOOD,0.6,GOOD,UNKNOWN,False
IMG_1751.jpg,output_augmented,GOOD,RIGHT,True,8.5,GOOD,2.6,GOOD,UNKNOWN,False
IMG_1751_flip.jpg,output_augmented,GOOD,LEFT,True,12.8,GOOD,1.2,GOOD,UNKNOWN,False
IMG_1752.jpg,output_augmented,GOOD,RIGHT,True,6.5,GOOD,2.3,GOOD,UNKNOWN,False
IMG_1752_flip.jpg,output_augmented,GOOD,LEFT,True,10.2,GOOD,0.5,GOOD,UNKNOWN,False
IMG_1753.jpg,output_augmented,GOOD,RIGHT,True,9.9,GOOD,0.2,GOOD,UNKNOWN,False
IMG_1753_flip.jpg,output_augmented,GOOD,LEFT,True,10.1,GOOD,0.3,GOOD,UNKNOWN,False
IMG_1754.jpg,output_augmented,GOOD,RIGHT,True,10.1,GOOD,2.2,GOOD,UNKNOWN,False
IMG_1754_flip.jpg,output_augmented,GOOD,LEFT,True,14.8,GOOD,1.8,GOOD,UNKNOWN,False
IMG_1755.jpg,output_augmented,GOOD,RIGHT,True,4.3,GOOD,4.1,GOOD,UNKNOWN,False
IMG_1755_flip.jpg,output_augmented,GOOD,LEFT,True,9.1,GOOD,0.3,GOOD,UNKNOWN,False
IMG_1756.jpg,output_augmented,GOOD,RIGHT,True,4.9,GOOD,0.3,GOOD,UNKNOWN,False
IMG_1756_flip.jpg,output_augmented,GOOD,LEFT,True,10.8,GOOD,2.4,GOOD,UNKNOWN,False
IMG_1757.jpg,output_augmented,GOOD,RIGHT,True,7.9,GOOD,5.9,GOOD,UNKNOWN,False
IMG_1757_flip.jpg,output_augmented,GOOD,LEFT,True,9.8,GOOD,3.7,GOOD,UNKNOWN,False
IMG_1758.jpg,output_augmented,GOOD,RIGHT,True,4.5,GOOD,3.5,GOOD,UNKNOWN,False
IMG_1758_flip.jpg,output_augmented,GOOD,LEFT,True,9.7,GOOD,2.6,GOOD,UNKNOWN,False
IMG_1759.jpg,output_augmented,GOOD,RIGHT,True,10.6,GOOD,2.8,GOOD,UNKNOWN,False
IMG_1760.jpg,output_augmented,GOOD,RIGHT,True,8.5,GOOD,3.4,GOOD,UNKNOWN,False
IMG_1761.jpg,output_augmented,GOOD,RIGHT,True,4.0,GOOD,4.0,GOOD,UNKNOWN,False
IMG_1761_flip.jpg,output_augmented,GOOD,LEFT,True,7.5,GOOD,0.0,GOOD,UNKNOWN,False
IMG_1762.jpg,output_augmented,GOOD,RIGHT,True,8.3,GOOD,2.0,GOOD,UNKNOWN,False
IMG_1762_flip.jpg,output_augmented,GOOD,LEFT,True,10.9,GOOD,2.1,GOOD,UNKNOWN,False
IMG_1763.jpg,output_augmented,GOOD,RIGHT,True,2.5,GOOD,4.4,GOOD,UNKNOWN,False
IMG_1763_flip.jpg,output_augmented,GOOD,LEFT,True,6.5,GOOD,0.3,GOOD,UNKNOWN,False
IMG_1764.jpg,output_augmented,GOOD,RIGHT,True,1.1,GOOD,2.5,GOOD,UNKNOWN,False
IMG_1764_flip.jpg,output_augmented,GOOD,LEFT,True,0.8,GOOD,0.5,GOOD,UNKNOWN,False
IMG_1765.jpg,output_augmented,GOOD,RIGHT,True,0.1,GOOD,14.9,GOOD,UNKNOWN,False
IMG_1765_flip.jpg,output_augmented,GOOD,LEFT,True,0.4,GOOD,10.5,GOOD,UNKNOWN,False
IMG_1766.jpg,output_augmented,GOOD,RIGHT,True,1.2,GOOD,12.6,GOOD,UNKNOWN,False
IMG_1766_flip.jpg,output_augmented,GOOD,LEFT,True,1.4,GOOD,12.0,GOOD,UNKNOWN,False
IMG_1767.jpg,output_augmented,GOOD,RIGHT,True,2.8,GOOD,14.0,GOOD,UNKNOWN,False
IMG_1767_flip.jpg,output_augmented,GOOD,LEFT,True,1.8,GOOD,10.0,GOOD,UNKNOWN,False
IMG_1768.jpg,output_augmented,GOOD,RIGHT,True,1.1,GOOD,14.1,GOOD,UNKNOWN,False
IMG_1768_flip.jpg,output_augmented,GOOD,LEFT,True,1.6,GOOD,11.5,GOOD,UNKNOWN,False
IMG_1769.jpg,output_augmented,GOOD,RIGHT,True,6.6,GOOD,11.9,GOOD,UNKNOWN,False
IMG_1769_flip.jpg,output_augmented,GOOD,LEFT,True,4.4,GOOD,12.8,GOOD,UNKNOWN,False
IMG_1770.jpg,output_augmented,BAD,RIGHT,True,0.8,GOOD,20.0,BAD,UNKNOWN,False
IMG_1770_flip.jpg,output_augmented,GOOD,LEFT,True,1.5,GOOD,17.7,GOOD,UNKNOWN,False
IMG_1771.jpg,output_augmented,GOOD,RIGHT,True,10.5,GOOD,14.2,GOOD,UNKNOWN,False
IMG_1771_flip.jpg,output_augmented,GOOD,LEFT,True,2.5,GOOD,13.1,GOOD,UNKNOWN,False
IMG_1772.jpg,output_augmented,GOOD,RIGHT,True,8.8,GOOD,13.5,GOOD,UNKNOWN,False
IMG_1772_flip.jpg,output_augmented,GOOD,LEFT,True,2.3,GOOD,13.8,GOOD,UNKNOWN,False
IMG_1773.jpg,output_augmented,GOOD,RIGHT,True,16.9,GOOD,11.2,GOOD,UNKNOWN,False
IMG_1773_flip.jpg,output_augmented,GOOD,LEFT,True,18.0,GOOD,8.4,GOOD,UNKNOWN,False
IMG_1774.jpg,output_augmented,GOOD,RIGHT,True,17.6,GOOD,9.8,GOOD,UNKNOWN,False
IMG_1774_flip.jpg,output_augmented,BAD,LEFT,True,22.4,BAD,7.0,GOOD,UNKNOWN,False
IMG_1775.jpg,output_augmented,GOOD,RIGHT,True,13.7,GOOD,10.8,GOOD,UNKNOWN,False
IMG_1775_flip.jpg,output_augmented,GOOD,LEFT,True,16.5,GOOD,7.1,GOOD,UNKNOWN,False
IMG_1776.jpg,output_augmented,BAD,RIGHT,True,21.2,BAD,12.4,GOOD,UNKNOWN,False
IMG_1776_flip.jpg,output_augmented,GOOD,LEFT,True,19.2,GOOD,9.6,GOOD,UNKNOWN,False
IMG_1777.jpg,output_augmented,GOOD,RIGHT,True,17.5,GOOD,11.4,GOOD,UNKNOWN,False
IMG_1777_flip.jpg,output_augmented,GOOD,LEFT,True,20.0,GOOD,10.0,GOOD,UNKNOWN,False
